,PDAC model,aged
Uncommitted,29.995385325334563,32.613328725303845
OB/OB AT 1,26.69589293954776,26.139047289902656
HFD AT 3,7.666128287955699,13.76072806865964
WT AT 4,0.9690816797415782,9.705662116237544
WT AT 7,5.670281495154591,6.952364495132769
OB/OB AT 2,3.149515459160129,6.024998559990784
OB/OB AT 3,8.779418550992155,2.234894303323541
HFD AT 1,7.769958467928011,1.1059270779332988
WT AT 3,1.5170742962621135,0.47232302286734634
WT AT 1,4.055145362251961,0.4089626173607511
HFD AT 4,1.2401938163359483,0.334082138125684
WT AT 6,0.6748961698200276,0.11520073728471862
HFD AT 2,0.2999538532533456,0.06912044237083118
WT AT 5,0.7844946931241348,0.05760036864235931
WT AT 2,0.7325796031379788,0.005760036864235931
