,PDAC model,all
Uncommitted,29.995385325334563,37.04421409897721
OB/OB AT 1,26.69589293954776,18.21423657294868
OB/OB AT 3,8.779418550992155,14.327156813282576
OB/OB AT 2,3.149515459160129,6.14021006283539
WT AT 7,5.670281495154591,5.448791450717791
HFD AT 1,7.769958467928011,5.383433472457918
HFD AT 3,7.666128287955699,4.800944824106774
WT AT 1,4.055145362251961,2.163693069761042
WT AT 6,0.6748961698200276,1.7302664770903087
WT AT 4,0.9690816797415782,1.440168784112278
WT AT 5,0.7844946931241348,0.9367976883915058
WT AT 2,0.7325796031379788,0.7361372288217218
WT AT 3,1.5170742962621135,0.6306471586478924
HFD AT 2,0.2999538532533456,0.5377700316470211
HFD AT 4,1.2401938163359483,0.4655322662018988
